#Ch. # 	 t 	 E(t) 	 A_0 	 E(A_0) 	 t_p 	 E(t_p) 	 k3 	 E(k3) 	 k4 	 E(k4) 	 k5 	 E(k5) 	 k6 	 E(k6) 	 Chi2/DOF
2535	5.03281808	0.008361212492	77692.88592	445.7148847	2.120098591	0.00711369289	0.3290085207	0.004076519743	0.4676056395	0.004902734113	0.3289478076	0.004075404549	0.2473500137	0.001882610792	4.998193492
2536	5.02161103	0.008638829051	86829.86445	1172.704202	2.191946606	0.01000646914	1.063155752	0.01671310641	1.363615195	0.02349116765	0.1131088072	0.01419244792	0.1135530731	0.01426106703	5.152946665
2537	5.020425631	0.009384343119	78541.6966	1053.478936	2.159744599	0.01527102692	0.7031415554	0.04830841526	0.822158789	0.06982965334	0.0664384157	0.003276369574	0.06104628619	0.002951492002	2.873419351
2538	5.030969859	0.009155248471	87445.16479	2185.973418	2.16538303	0.01089869474	1.22358459	0.0290894536	1.535080258	0.03501971538	0.05792889095	0.002134117025	0.06161051197	0.002273101647	4.468910015
2539	5.035060915	0.009475161084	76914.4214	675.0477916	2.125416378	0.01306758401	0.550257841	0.0422404226	0.6252773002	0.05394161244	0.04254614835	0.002182710909	0.03548131061	0.001850842789	2.011536521
2540	5.033957873	0.008057570289	77086.93508	424.2538621	2.105269948	0.006758269387	0.3357270774	0.003048824719	0.4716871227	0.003576208602	0.3355621512	0.003046947027	0.2578360569	0.001603616624	5.587158644
2541	5.044516314	0.009000270587	85979.67821	285.3511431	2.160123613	0.009582368257	1.116105886	0.01645200531	1.410451021	0.0236336781	0.04349085275	0.006141252667	0.0440476399	0.006204961517	8.560263298
2542	5.034709634	0.008890180826	87708.14608	1058.79046	2.168259558	0.01028593375	1.123057462	0.02098341041	1.423710576	0.0273832164	0.06282524393	0.003708835473	0.06472879788	0.003829905916	5.652215955
2543	5.035716162	0.008819321034	82320.97116	2229.531268	2.171013941	0.02104601237	0.8700261411	0.0632416748	1.064592519	0.1138391675	0.05435413651	0.002728065677	0.04972429132	0.002487632949	3.709832361
2544	5.073293482	0.009118061599	74609.23685	456.7509601	2.020461115	0.007429897106	0.129732938	0.004368516968	0.09519856761	0.01022066826	0.0562922175	0.001246800756	0.09518358211	0.01025528172	3.199306345
2545	5.037259099	0.008675682332	86086.57177	935.4097218	2.188281532	0.01013356088	0.9074678692	0.4004747175	1.304405618	0.0356956571	0.9073769044	0.4010784943	0.8069922855	0.04428545118	6.957780049
2546	5.025247133	0.009447423826	76772.34627	616.2850076	2.129062709	0.01197891607	0.4797810784	0.03534108449	0.5648947015	0.04441151367	0.1002486019	0.003263834944	0.08533544726	0.002399108981	3.509382428
2547	5.027302255	0.009589494423	77875.01863	1013.505037	2.146862569	0.01531125005	0.7119064978	0.05365450956	0.8186115774	0.07453204694	0.08567914403	0.005205749839	0.08209189693	0.004862916983	4.2254954
2548	5.062341117	0.009090920708	73847.51851	454.2262027	2.058524154	0.007603715609	0.1294184424	0.006660455188	0.1038283438	0.00379580617	0.06583111104	0.001652443801	0.1036321165	0.00381116839	2.323525445
2549	5.023503397	0.009445372845	81227.78324	1427.148517	2.125544937	0.01735948045	0.7947556131	0.05772879422	0.9382538863	0.08908269542	0.06862044725	0.00310337755	0.06400618219	0.002836485271	3.427349188
2550	5.026598578	0.009231177592	86057.57655	1022.323855	2.189398843	0.01110426708	1.15746451	0.02733845591	1.462149664	0.03317927662	0.0720967999	0.002326378941	0.07640812574	0.002488205714	5.286677003
2551	5.04547257	0.00745501732	78211.36492	420.5882724	2.06748345	0.004960346558	0.3312935208	0.001561513562	0.4632779054	0.002096118269	0.3311445987	0.001560665619	0.2526653302	0.0009597525158	5.611572003
2552	5.03541653	0.008963025753	86502.85244	224.068416	2.183804657	0.01010970434	1.040914915	0.01694137102	1.336992091	0.02350945882	0.05117653467	0.003917225984	0.05228647941	0.003990777618	6.51702277
2553	5.028965698	0.008810988792	88444.66401	453.2926119	2.150539463	0.00969983255	1.126239698	0.01569201861	1.433473114	0.0227268067	0.03066701036	0.006009800946	0.03098138393	0.006049048706	5.982416774
2554	5.040873394	0.009317566496	75160.74284	447.1684023	2.094913603	0.008689071128	0.2561145437	0.006023284591	0.3630293961	0.01053614717	0.2559646277	0.006020360699	0.1868154934	0.004180051364	4.846770223
2555	5.031119749	0.009165390513	78230.84953	701.6901789	2.095288213	0.01239012202	0.6228824545	0.04489441571	0.7018258735	0.05740894308	0.05723791834	0.003015265907	0.05191936399	0.002696233069	1.993647728
2556	5.035367609	0.008855173618	85920.88493	796.2066935	2.184328996	0.01037494571	1.084735097	0.01775537657	1.383834176	0.02409940329	0.04582184403	0.003293369733	0.04730363301	0.003384950005	4.668864943
2557	5.034247763	0.008988397672	88084.88255	1519.113443	2.147044531	0.01044858341	1.185659315	0.02634213894	1.496074922	0.0329223122	0.05083114778	0.002797911774	0.05326072176	0.002921730032	4.275663448
2558	5.020777237	0.009330467665	81094.04195	1852.518298	2.186431926	0.01981691672	0.7808094987	0.05358037119	0.9691678547	0.09403517716	0.07032570464	0.002813282259	0.06280846536	0.00243912684	2.463147726
2559	5.031481101	0.008626590453	88104.92977	236.81856	2.153236054	0.009413033111	1.073656906	0.01541506994	1.378103528	0.02252258306	-0.01647070261	0.005633624144	-0.01635357837	0.00565206855	10.68341621
2560	5.062243489	0.008730897011	87461.21078	1066.64314	2.154229234	0.009303875423	1.312305248	0.02909717232	1.635592383	0.03671042016	0.06975424721	0.009862422254	0.06889175415	0.009733530094	4.542069547
2561	5.095514979	0.008887100295	76048.39769	460.0142904	1.990342569	0.006812575761	0.09907802149	0.006150796446	0.08009529181	0.01125877943	0.05661509994	0.002433825409	0.08007920973	0.01133420162	4.846687299
2562	5.051489518	0.009101062684	76559.94395	589.8839642	2.112065306	0.01101057624	0.6162118089	0.05653782823	0.6651892787	0.0656028271	0.09885160535	0.007219534741	0.09558607105	0.006822143807	5.80327544
2563	5.03368837	0.008848024017	85212.48295	2561.273697	2.138919527	0.01991237321	1.032518554	0.0662345139	1.264090346	0.1278551363	0.07724942383	0.005370106391	0.07528739947	0.005204844528	5.286341311
2564	5.062329917	0.008963511219	75776.57993	448.8133177	2.085860072	0.007851812329	0.1942450273	0.00338683987	0.2839678832	0.006209935124	0.1940894798	0.003388168788	0.1279914406	0.002013316555	6.480978609
