#Ch. # 	 t 	 E(t) 	 A_0 	 E(A_0) 	 t_p 	 E(t_p) 	 Chi2/DOF
5303	5.037521223	0.009818849655	72573.06597	469.9552842	2.031704063	0.008515697257	6.098172887
5304	5.042734738	0.009776035378	73928.12504	473.1531388	2.051751496	0.008593471923	7.872293518
5305	5.037735794	0.009727836476	73136.54959	471.5682879	2.031176542	0.008463627447	5.864585819
5306	5.049290919	0.009454443407	74142.26488	471.0637272	2.047966736	0.008410814231	8.612555543
5307	5.03872654	0.009709529404	73408.22938	472.2084048	2.032386687	0.008451181437	5.51737263
5308	5.043350038	0.009709815368	73549.12427	470.828314	2.055442271	0.008597978061	5.662405575
5309	5.040287531	0.00955866709	73224.72865	470.1827973	2.033303378	0.008396641178	6.283629026
5310	5.043185362	0.01001188584	71983.03402	458.93118	2.138006669	0.009285158114	6.369398388
5311	5.046049969	0.009406980921	74811.51919	475.7803712	2.024373205	0.008254058554	4.78411127
5312	5.04555671	0.01028368767	71797.1023	461.8016806	2.127181562	0.009355365053	7.72667184
5313	5.041216183	0.009387190216	75088.27021	476.7203491	2.025150638	0.008237009576	5.474651884
5314	5.046647351	0.01015660649	71541.40551	459.4945546	2.127237535	0.009273496694	5.277897146
5315	5.040720501	0.009394329181	75485.99075	477.6957226	2.026756941	0.00822105051	5.353158206
5316	5.045623557	0.0100087666	72101.38385	460.6053117	2.131366515	0.009237047123	6.987288081
5317	5.047099936	0.009397760337	75095.43278	476.9758573	2.017107378	0.008184861988	3.77641634
5318	5.048361543	0.01006359455	71674.70175	459.3210026	2.124866951	0.009232907846	4.345771903
5319	5.040061413	0.009693108673	74701.21428	477.878948	2.016671483	0.008317423098	6.324018804
5320	5.059619103	0.00955546137	73649.84093	465.1486315	2.091957042	0.0087352381	5.257268532
5321	5.062250958	0.009551913595	72780.30122	466.8087751	2.037740455	0.008438016534	5.840882726
5322	5.058164148	0.009503592578	73871.29688	464.987662	2.097626133	0.008738503708	4.944723143
5323	5.06251354	0.009141018748	72863.35081	463.6959114	2.042126883	0.00827633864	5.539769689
5324	5.059605714	0.009508504276	73848.65631	464.7217908	2.102429207	0.008783966939	2.875816922
5325	5.057237021	0.009652451858	72468.66689	467.0742199	2.038120403	0.008496395257	9.4474146
5326	5.05243983	0.00939181245	73809.65226	462.2255401	2.115317587	0.008798429758	3.847839458
5327	5.059467186	0.009336856435	73291.90661	466.9046928	2.04148976	0.008351234053	3.71505931
5328	5.050051452	0.009764699087	73529.74256	464.9751811	2.111185587	0.008957448327	2.75657861
5329	5.068799075	0.009049056491	73462.45526	465.4115321	2.033026215	0.008151494705	6.722246593
5330	5.063645818	0.009322553093	70743.85749	459.269505	2.02587251	0.008353265249	3.41793962
5331	5.063718796	0.009209061084	73055.07792	464.7889233	2.045398043	0.00833194984	7.777105067
5332	5.056316272	0.009602602082	71205.69071	462.8457188	2.029778034	0.00847059844	4.074957679
5333	5.066606689	0.00924518688	73026.83865	465.4225889	2.035138518	0.008275765577	5.853540227
5334	5.062400262	0.00942392119	70639.02753	458.9662031	2.029688235	0.008413766276	5.709781103
5335	5.051934013	0.009506794058	72801.1381	465.6282538	2.050067136	0.008489208523	3.896564598
5336	5.062059709	0.009511307662	71227.08748	461.8452224	2.029980315	0.008427515734	6.149626729
5337	5.048099886	0.009660413175	72665.90574	467.1530058	2.049042232	0.008552288668	3.835428016
5338	5.071120076	0.009242168707	71166.15958	459.608913	2.018588996	0.008223746207	5.621823758
5339	5.053489383	0.009255057125	73132.98446	465.7392938	2.045927926	0.008346251013	7.036516933
5340	5.049911822	0.009517881731	72204.33181	463.7196919	2.050420503	0.008522387667	2.567975059
5341	5.053432058	0.009835325445	72810.24532	465.0590768	2.09429871	0.008925427156	4.512282097
5342	5.05503568	0.009528400361	72781.49	467.0618218	2.040249058	0.008443957777	4.22181081
